,DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp],Day-Ahead forecast (11h00) [MW],predictions,RMSE_predictions,RMSE_elia
1354,2021-08-24 12:00:00,45944.08,48273.44,33389.69,45310.26,45310.26,76600.96,48414.71,9891.079504931271,14295.481527454524,1576.2004608557265
1355,2021-08-24 16:00:00,20853.97,23062.95,16042.43,20634.52,20634.52,76600.96,23279.51,2639.9436384431647,14295.481527454524,1576.2004608557265
1356,2021-08-24 20:00:00,147.89000000000001,143.46,173.59,178.56,178.56,76600.96,141.94,-493.3399194534775,14295.481527454524,1576.2004608557265
1357,2021-08-25 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-510.92942917008884,14295.481527454524,1576.2004608557265
1358,2021-08-25 04:00:00,726.97,731.62,438.65999999999997,747.94,747.94,76600.96,729.1800000000001,-392.8258629141282,14295.481527454524,1576.2004608557265
1359,2021-08-25 08:00:00,29625.23,29981.52,12494.85,30498.84,30498.84,76600.96,29807.84,3371.714977868423,14295.481527454524,1576.2004608557265
1360,2021-08-25 12:00:00,48841.22,48273.5,25934.760000000002,50891.83,50891.83,76600.96,47744.12,7828.078791596145,14295.481527454524,1576.2004608557265
1361,2021-08-25 16:00:00,22350.84,21571.05,14192.85,22187.08,22187.08,76600.96,21246.18,2069.519614915736,14295.481527454524,1576.2004608557265
1362,2021-08-25 20:00:00,134.1,134.81,144.18,126.77999999999999,126.77999999999999,76600.96,133.3,-483.7179015461635,14295.481527454524,1576.2004608557265
1363,2021-08-26 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-552.319428585982,14295.481527454524,1576.2004608557265
1364,2021-08-26 04:00:00,410.32,416.31,619.86,307.07,307.07,76600.96,404.97,-400.89173902983777,14295.481527454524,1576.2004608557265
1365,2021-08-26 08:00:00,14364.52,14952.33,19712.42,12863.36,12863.36,76600.96,14791.95,4277.832475512587,14295.481527454524,1576.2004608557265
1366,2021-08-26 12:00:00,23362.01,26177.38,32202.44,22614.12,22614.12,76600.96,26000.37,13081.24155136034,14295.481527454524,1576.2004608557265
1367,2021-08-26 16:00:00,12734.19,14363.02,14222.45,11693.15,11693.15,76600.96,13979.63,3418.674904115722,14295.481527454524,1576.2004608557265
1368,2021-08-26 20:00:00,102.86,105.56,127.53,89.63000000000001,89.63000000000001,76600.96,103.53,-473.7542396330554,14295.481527454524,1576.2004608557265
1369,2021-08-27 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-525.1653600162175,14295.481527454524,1576.2004608557265
1370,2021-08-27 04:00:00,550.54,562.54,605.44,572.8399999999999,572.8399999999999,76600.96,534.55,-390.3621627285983,14295.481527454524,1576.2004608557265
1371,2021-08-27 08:00:00,22345.149999999998,22289.74,19986.47,21087.010000000002,21087.010000000002,76600.96,21078.4,8273.790802835078,14295.481527454524,1576.2004608557265
1372,2021-08-27 12:00:00,30286.23,33778.72,33830.87,30028.08,30028.08,76600.96,32930.87,16922.09153564021,14295.481527454524,1576.2004608557265
1373,2021-08-27 16:00:00,16513.65,15439.58,14894.95,15298.65,15298.65,76600.96,15395.23,3819.651031015702,14295.481527454524,1576.2004608557265
1374,2021-08-27 20:00:00,99.31,93.8,111.86,88.85,88.85,76600.96,97.9,-412.85991979821586,14295.481527454524,1576.2004608557265
1375,2021-08-28 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-523.2538233340625,14295.481527454524,1576.2004608557265
1376,2021-08-28 04:00:00,378.81,372.52,539.06,280.9,280.9,76600.96,392.45000000000005,-403.3534748032596,14295.481527454524,1576.2004608557265
1377,2021-08-28 08:00:00,15215.47,16070.98,16729.66,14888.73,14888.73,76600.96,15978.869999999999,4509.392463780865,14295.481527454524,1576.2004608557265
1378,2021-08-28 12:00:00,25172.86,28790.57,25946.57,31322.18,31322.18,76600.96,25781.7,14473.627330420464,14295.481527454524,1576.2004608557265
1379,2021-08-28 16:00:00,16144.86,13838.710000000001,12330.94,16248.17,16248.17,76600.96,13144.23,2559.468222416155,14295.481527454524,1576.2004608557265
1380,2021-08-28 20:00:00,80.67999999999999,79.72,89.53,68.37,68.37,76600.96,77.88,-487.10045549524017,14295.481527454524,1576.2004608557265
1381,2021-08-29 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-535.1337692585867,14295.481527454524,1576.2004608557265
